StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q23,Q24,Q29,Q30,Q32,Q33,Q35,Q36,Q38,Q39,Q41,Q42,Q44,Q45,Q47,Q48,Q53,Q54,Q56,Q57,Q59,Q60,Q64,Q65,CompletionCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I believe the following statement:
The Great Wall of China is the only human-made object visible from the Moon.",Which category does the statement above belong to?,"I believe the following statement:
Goldfish have a memory span of only a few seconds.",Which category does the statement above belong to?,"I believe the following statement:
Chameleons change color to match their surroundings.",Which category does the statement above belong to?,"I believe the following statement:
Bananas grow on trees.",Which category does the statement above belong to?,"I believe the following statement:
A human has more than five senses.",Which category does the statement above belong to?,"I believe the following statement:
Zebras are black with white stripes.",Which category does the statement above belong to?,"I believe the following statement:
The average human has fewer than two legs.",Which category does the statement above belong to?,"I believe the following statement:
Fortune cookies originated in China.",Which category does the statement above belong to?,"I believe the following statement:
Canada consumes more baked beans than the rest of the world put together.",Which category does the statement above belong to?,"I believe the following statement:
 

In the novel Oliver Twist, the parish boy asks: ""Please, Sir, can I have some more?""",Which category does the statement above belong to?,"I believe the following statement:

The most common street name in America is ""Second Street.""",Which category does the statement above belong to?,"I believe the following statement:
Charlie Chaplin outlived Elvis Presley.",Which category does the statement above belong to?,"I believe the following statement:
France gave the United States the Statue of Liberty.",Which category does the statement above belong to?,"I believe the following statement:
 

Only those who are deceased may appear on a United States postal stamp.",Which category does the statement above belong to?,"I believe the following statement:



In the film Frozen, the fictional kingdom is called Arendelle.",Which category does the statement above belong to?,"I believe the following statement:
 

In the film Anchorman: The Legend of Ron Burgundy, Ron Burgundy says the line: ""Boy, that escalated quickly.""",Which category does the statement above belong to?,"I believe the following statement:
 

Do not answer any of the questions on this page. Just press the red arrow to continue.",Which category does the statement above belong to?,CompletionCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""CompletionCode""}"
2017-11-18 01:51:30,2017-11-18 01:53:16,IP Address,73.221.14.154,100,106,True,2017-11-18 01:53:17,R_3JCAm7XfpCT8PpA,,,,,47.287506103516,-122.10940551758,anonymous,EN,Agree,Science,Agree,Science,Undecided,Science,Agree,Science,Disagree,Science,Agree,Science,Strongly Disagree,Science,Undecided,,Disagree,,Agree,Pop Culture,Disagree,,Agree,Pop Culture,Undecided,,Disagree,Pop Culture,Disagree,,Agree,Pop Culture,,,15256972
2017-11-18 01:51:29,2017-11-18 01:53:29,IP Address,104.131.206.9,100,120,True,2017-11-18 01:53:30,R_1Nw6p7d5XlgrIXy,,,,,40.730804443359,-73.997497558594,anonymous,EN,Agree,Science,Undecided,Science,Strongly Agree,Science,Undecided,Science,Agree,Science,Strongly Agree,Science,Agree,Science,Strongly Disagree,Pop Culture,Undecided,,Agree,Pop Culture,Undecided,Both of the above,Disagree,Pop Culture,Strongly Agree,,Undecided,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,,,62466132
2017-11-18 01:51:25,2017-11-18 01:53:34,IP Address,149.101.37.2,100,129,True,2017-11-18 01:53:35,R_3fVGzBkXDi4LgDM,,,,,39.018203735352,-77.208602905273,anonymous,EN,Strongly Disagree,,Disagree,Science,Disagree,Science,Agree,Science,Strongly Disagree,Science,Agree,Science,Strongly Disagree,Science,Undecided,,Disagree,,Strongly Agree,Pop Culture,Undecided,,Disagree,Pop Culture,Strongly Agree,,Undecided,,Undecided,Pop Culture,Strongly Agree,Pop Culture,,,88372564
2017-11-18 01:52:07,2017-11-18 01:53:57,IP Address,98.168.178.58,100,109,True,2017-11-18 01:53:57,R_22WDwS7LM9h8uy8,,,,,35.460494995117,-97.397399902344,anonymous,EN,Agree,Science,Undecided,Science,Strongly Agree,Science,Agree,Science,Strongly Disagree,Science,Strongly Disagree,Science,Strongly Disagree,Science,Undecided,Science,Undecided,Science,Agree,Pop Culture,Undecided,Science,Undecided,Science,Strongly Agree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,,,56183548
2017-11-18 01:51:59,2017-11-18 01:53:58,IP Address,70.187.80.244,100,118,True,2017-11-18 01:53:58,R_4TmSHDCbMHB34Zz,,,,,29.638107299805,-82.414100646973,anonymous,EN,Strongly Disagree,Pop Culture,Agree,Pop Culture,Strongly Agree,Science,Agree,Science,Disagree,Science,Disagree,,Agree,Science,Agree,Pop Culture,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,,,94668957
2017-11-18 01:53:08,2017-11-18 01:55:42,IP Address,71.48.49.9,100,153,True,2017-11-18 01:55:42,R_1f32pETO2EUmDYt,,,,,36.247299194336,-115.23220062256,anonymous,EN,Disagree,Science,Agree,Science,Agree,Science,Strongly Agree,Science,Strongly Agree,Science,Disagree,Science,Strongly Disagree,Science,Agree,,Disagree,,Agree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,Strongly Agree,,Agree,,Agree,Pop Culture,Strongly Agree,Pop Culture,,,46692234
2017-11-18 01:51:41,2017-11-18 01:56:19,IP Address,172.56.42.85,100,277,True,2017-11-18 01:56:19,R_2xVJqEbuafysQvt,,,,,47.448501586914,-122.28099822998,anonymous,EN,Strongly Disagree,Science,Strongly Disagree,Science,Strongly Agree,Science,Strongly Disagree,Science,Strongly Disagree,Science,Strongly Agree,Science,Strongly Disagree,Science,Strongly Disagree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,Pop Culture,Strongly Agree,,Strongly Disagree,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,,,35473598
2017-11-18 01:53:57,2017-11-18 01:57:54,IP Address,69.113.162.223,100,236,True,2017-11-18 01:57:54,R_3nSDSKZ9pHUbbsd,,,,,40.85969543457,-74.402603149414,anonymous,EN,Strongly Agree,,Undecided,Science,Strongly Agree,Science,Strongly Agree,Science,Strongly Disagree,Science,Undecided,Science,Strongly Disagree,Science,Undecided,Pop Culture,Disagree,Pop Culture,Agree,,Undecided,Pop Culture,Undecided,Pop Culture,Strongly Agree,,Strongly Disagree,,Strongly Disagree,,Undecided,,,,14462117
