StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q23,Q24,Q29,Q30,Q32,Q33,Q35,Q36,Q38,Q39,Q41,Q42,Q44,Q45,Q47,Q48,Q53,Q54,Q56,Q57,Q59,Q60,Q64,Q65,CompletionCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I believe the following statement:


A single cloud cannot weigh more than 1 million pounds.",Which category does the statement above belong to?,"I believe the following statement:


An adult human skeleton has 216 bones.",Which category does the statement above belong to?,"I believe the following statement:
Alexander McQueen, a leading fashion designer, was found dead in his Paris studio in February 2010.",Which category does the statement above belong to?,"I believe the following statement:
Mark Ruffalo and Eric Bana have both played the Incredible Hulk in the Marvel Cinematic Universe.",Which category does the statement above belong to?,"I believe the following statement:

Black Beatles is the song that was used for the mannequin challenge",Which category does the statement above belong to?,"I believe the following statement:
Bulls are not enraged by the color red.",Which category does the statement above belong to?,"I believe the following statement:
Hawkeye's real name is Bart Clinton.",Which category does the statement above belong to?,"I believe the following statement:
Humans grow 121 feet of hair every day.",Which category does the statement above belong to?,"I believe the following statement:
 

Jayne Mansfield, the famous Hitchcock leading lady, was the mother of Jamie Lee Curtis.",Which category does the statement above belong to?,"I believe the following statement:
 

Puma has had collaborations with the likes of Rihanna, Kylie Jenner, and The Weekend.",Which category does the statement above belong to?,"I believe the following statement:

Punk Rock Music emerged in the 1970s,  featuring themes of heavier and louder sounds with anti-establishment lyrics.",Which category does the statement above belong to?,"I believe the following statement:
Sugar does not cause hyperactivity in children.",Which category does the statement above belong to?,"I believe the following statement:
The ""Alpha"" in a wolf pack is the pack's dominant adult wolf.",Which category does the statement above belong to?,"I believe the following statement:
 

The eye muscles move 100,000 times a day.",Which category does the statement above belong to?,"I believe the following statement:


Titanic and La La Land both have received 14 Oscar nominations.",Which category does the statement above belong to?,"I believe the following statement:
 

When Marvel's Steve Rogers was 21 years old, he received the Super-Serum, turning him into Captain America.",Which category does the statement above belong to?,"I believe the following statement:
 

Do not answer any of the questions on this page. Just press the red arrow to continue.",Which category does the statement above belong to?,CompletionCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""CompletionCode""}"
2017-11-20 12:50:54,2017-11-20 12:52:05,IP Address,68.63.12.89,100,70,True,2017-11-20 12:52:06,R_1OvFEoUVUDMOdt5,,,,,31.150299072266,-85.411399841309,anonymous,EN,Undecided,Science,Disagree,Science,Undecided,Science,Undecided,Science,Undecided,Pop Culture,Agree,Science,Strongly Disagree,,Strongly Disagree,Science,Undecided,Both of the above,Strongly Agree,,Disagree,Both of the above,Agree,Science,Strongly Disagree,Science,Disagree,Science,Disagree,Both of the above,Undecided,Both of the above,Undecided,Both of the above,51006532
2017-11-20 12:51:25,2017-11-20 12:53:10,IP Address,64.211.68.212,100,104,True,2017-11-20 12:53:10,R_3QDB8xlH4cIOxyK,,,,,41.386093139648,-81.71019744873,anonymous,EN,Strongly Agree,Science,Agree,Science,Undecided,Pop Culture,Disagree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Science,Strongly Disagree,Pop Culture,Strongly Disagree,Science,Agree,Pop Culture,Undecided,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,Science,Undecided,Science,Undecided,Pop Culture,Undecided,Pop Culture,,,55313322
2017-11-20 12:51:21,2017-11-20 12:53:24,IP Address,104.129.196.101,100,122,True,2017-11-20 12:53:24,R_1lnofMPD2OzBq9i,,,,,41.848297119141,-87.651702880859,anonymous,EN,Strongly Disagree,Science,Agree,Science,Undecided,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Disagree,Science,Strongly Disagree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Disagree,Science,Strongly Agree,Science,Agree,Science,Undecided,Pop Culture,Strongly Agree,Pop Culture,,,54155159
2017-11-20 12:51:03,2017-11-20 12:53:27,IP Address,76.229.99.70,100,143,True,2017-11-20 12:53:27,R_ODcfF4mOnh1B7vH,,,,,33.977493286133,-118.2133026123,anonymous,EN,Agree,Science,Agree,Science,Agree,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Agree,Science,Strongly Disagree,Pop Culture,Disagree,Science,Agree,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Disagree,Science,Strongly Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,,,78023075
2017-11-20 12:51:29,2017-11-20 12:53:35,IP Address,75.99.158.2,100,126,True,2017-11-20 12:53:35,R_3gNqd8v3MAYBeY0,,,,,40.916793823242,-74.637001037598,anonymous,EN,Undecided,Science,Agree,Science,Undecided,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,Science,Agree,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Strongly Disagree,Science,Strongly Agree,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Pop Culture,,,33028406
2017-11-20 12:51:21,2017-11-20 12:53:44,IP Address,73.244.236.191,100,143,True,2017-11-20 12:53:45,R_3KMFhDqsSIw4Suh,,,,,25.982894897461,-80.279403686523,anonymous,EN,Undecided,Science,Undecided,Science,Undecided,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Undecided,,Disagree,Pop Culture,Undecided,Science,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Disagree,Science,Strongly Agree,,Undecided,Science,Agree,Pop Culture,Agree,Pop Culture,,,79615277
2017-11-20 12:51:37,2017-11-20 12:54:05,IP Address,207.225.107.147,100,148,True,2017-11-20 12:54:05,R_069gkd72wJpPpiV,,,,,39.946899414062,-105.21420288086,anonymous,EN,Undecided,Science,Undecided,Science,Undecided,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Disagree,,Undecided,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Disagree,Science,Agree,Science,Undecided,Science,Agree,Pop Culture,Disagree,Pop Culture,,,76432511
2017-11-20 12:51:24,2017-11-20 12:54:05,IP Address,76.184.157.229,100,161,True,2017-11-20 12:54:06,R_6swoQT4dlH5zu5b,,,,,32.919296264648,-96.982002258301,anonymous,EN,Disagree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,,,32201276
